,Country,EdLevel,YearsCodePro,Age,Gender,Salary
12953,United States of America,Master’s degree,8.0,35-44 years old,Man,200000.0
12954,Canada,Less than a Bachelors,3.0,18-24 years old,Man,46850.0
12956,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,110000.0
12958,Germany,Master’s degree,5.0,35-44 years old,Man,61853.0
12959,New Zealand,Bachelor’s degree,11.0,25-34 years old,Man,96500.0
12962,United States of America,Master’s degree,4.0,25-34 years old,Man,42000.0
12965,Germany,Bachelor’s degree,10.0,25-34 years old,Man,122640.0
12966,Other,Bachelor’s degree,15.0,35-44 years old,Man,190000.0
12970,United States of America,Bachelor’s degree,26.0,45-54 years old,Man,125000.0
12971,United States of America,Less than a Bachelors,0.5,25-34 years old,Woman,65000.0
12975,United States of America,Less than a Bachelors,0.5,35-44 years old,Man,78000.0
12978,Denmark,Master’s degree,10.0,25-34 years old,Man,111840.0
12979,Finland,Master’s degree,6.0,25-34 years old,Man,49908.0
12982,Brazil,Bachelor’s degree,12.0,35-44 years old,Man,40632.0
12983,Ukraine,Master’s degree,13.0,35-44 years old,Man,54828.0
12987,Canada,Bachelor’s degree,10.0,35-44 years old,Man,78084.0
12991,Canada,Bachelor’s degree,0.5,18-24 years old,Man,24600.0
13002,France,Master’s degree,4.0,25-34 years old,Man,58654.0
13005,United States of America,Bachelor’s degree,5.0,25-34 years old,Man,110400.0
13007,United States of America,Bachelor’s degree,2.0,18-24 years old,Woman,109917.0
13016,Canada,Bachelor’s degree,4.0,25-34 years old,Man,85893.0
13020,Mexico,Less than a Bachelors,5.0,25-34 years old,Man,17481.0
13025,Argentina,Less than a Bachelors,3.0,25-34 years old,Man,30300.0
13026,South Africa,Master’s degree,5.0,25-34 years old,Man,75864.0
13029,Turkey,Bachelor’s degree,7.0,25-34 years old,Man,19548.0
13030,India,Bachelor’s degree,0.5,18-24 years old,Man,23215.0
13033,Israel,Less than a Bachelors,0.5,25-34 years old,Man,10411.0
13035,United States of America,Bachelor’s degree,35.0,55-64 years old,Man,176000.0
13037,Other,Bachelor’s degree,3.0,25-34 years old,Man,10800.0
13039,United States of America,Post grad,6.0,35-44 years old,Man,105000.0
13043,Poland,Master’s degree,9.0,25-34 years old,Man,111000.0
13044,United States of America,Less than a Bachelors,6.0,35-44 years old,Man,115000.0
13046,United States of America,Less than a Bachelors,19.0,35-44 years old,Man,200000.0
13047,United States of America,Bachelor’s degree,3.0,35-44 years old,Man,91000.0
13048,United States of America,Less than a Bachelors,2.0,Under 18 years old,Man,30000.0
13049,United States of America,Bachelor’s degree,17.0,35-44 years old,Man,162000.0
13052,United States of America,Bachelor’s degree,6.0,35-44 years old,Man,140000.0
13058,Belgium,Bachelor’s degree,8.0,35-44 years old,Man,149301.0
13059,Switzerland,Bachelor’s degree,14.0,35-44 years old,Man,177881.0
13061,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,120000.0
13065,United States of America,Bachelor’s degree,9.0,45-54 years old,Man,130000.0
13071,United States of America,Post grad,6.0,35-44 years old,Man,117000.0
13072,Russian Federation,Master’s degree,1.0,35-44 years old,Man,35328.0
13075,Finland,Master’s degree,16.0,35-44 years old,Man,63984.0
13077,United States of America,Bachelor’s degree,17.0,35-44 years old,Man,142000.0
13081,Other,Master’s degree,5.0,35-44 years old,Man,57214.0
13089,France,Bachelor’s degree,1.0,18-24 years old,Man,21744.0
13093,United States of America,Bachelor’s degree,29.0,45-54 years old,Woman,165000.0
13094,Czech Republic,Less than a Bachelors,3.0,25-34 years old,Man,15588.0
13097,United States of America,Bachelor’s degree,10.0,35-44 years old,Man,130000.0
13098,Canada,Bachelor’s degree,23.0,45-54 years old,Man,101509.0
13099,United States of America,Bachelor’s degree,8.0,25-34 years old,Man,120000.0
13100,Russian Federation,Master’s degree,1.0,25-34 years old,Man,31176.0
13101,United States of America,Bachelor’s degree,16.0,35-44 years old,Man,120000.0
13102,Canada,Less than a Bachelors,15.0,35-44 years old,Man,65817.0
13103,"Iran, Islamic Republic of...",Bachelor’s degree,2.0,18-24 years old,Man,26952.0
13104,Other,Master’s degree,15.0,35-44 years old,Man,96612.0
13106,Brazil,Bachelor’s degree,6.0,25-34 years old,Man,24972.0
13108,Brazil,Bachelor’s degree,21.0,35-44 years old,Man,22440.0
13109,United States of America,Bachelor’s degree,0.5,25-34 years old,Man,66000.0
13111,Netherlands,Master’s degree,0.5,35-44 years old,Woman,29436.0
13114,United States of America,Bachelor’s degree,23.0,45-54 years old,Man,149000.0
13115,Other,Bachelor’s degree,4.0,25-34 years old,Man,35127.0
13121,United States of America,Bachelor’s degree,24.0,45-54 years old,Man,200000.0
13122,United States of America,Bachelor’s degree,10.0,25-34 years old,Man,140000.0
13128,Other,Bachelor’s degree,6.0,35-44 years old,Woman,39458.0
13129,Brazil,Master’s degree,4.0,25-34 years old,Woman,27420.0
13132,Germany,Master’s degree,3.0,25-34 years old,Man,57588.0
13133,Sweden,Bachelor’s degree,8.0,25-34 years old,Man,85320.0
13135,Greece,Bachelor’s degree,9.0,25-34 years old,Man,71451.0
13136,United States of America,Bachelor’s degree,14.0,25-34 years old,Man,105000.0
13137,France,Master’s degree,1.0,18-24 years old,Man,12792.0
13138,United States of America,Less than a Bachelors,4.0,25-34 years old,Man,65000.0
13139,United States of America,Bachelor’s degree,5.0,18-24 years old,Man,66000.0
13140,United States of America,Bachelor’s degree,1.0,18-24 years old,Man,144000.0
13141,Other,Bachelor’s degree,9.0,25-34 years old,Man,72288.0
13144,United States of America,Bachelor’s degree,12.0,35-44 years old,Woman,170000.0
13152,Portugal,Post grad,15.0,35-44 years old,Man,76783.0
13155,Other,Less than a Bachelors,9.0,25-34 years old,Woman,109843.0
13161,Russian Federation,Master’s degree,6.0,25-34 years old,Woman,103908.0
13165,"Iran, Islamic Republic of...",Less than a Bachelors,7.0,25-34 years old,Man,45384.0
13167,United States of America,Master’s degree,10.0,45-54 years old,Man,50000.0
13168,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,116748.0
13171,United States of America,Bachelor’s degree,3.0,35-44 years old,Man,100000.0
13173,India,Bachelor’s degree,8.0,25-34 years old,Man,15480.0
13174,Other,Less than a Bachelors,0.5,18-24 years old,Man,13735.0
13178,Canada,Less than a Bachelors,1.0,18-24 years old,Man,35138.0
13179,Belgium,Master’s degree,18.0,35-44 years old,Man,44796.0
13181,United States of America,Bachelor’s degree,7.0,25-34 years old,Man,90000.0
13183,Germany,Master’s degree,21.0,55-64 years old,Man,103588.0
13185,Germany,Less than a Bachelors,6.0,25-34 years old,Man,44790.0
13186,United States of America,Bachelor’s degree,6.0,25-34 years old,Man,130000.0
13190,United States of America,Bachelor’s degree,2.0,25-34 years old,Man,56000.0
13192,United States of America,Bachelor’s degree,20.0,35-44 years old,Man,30000.0
13195,Brazil,Less than a Bachelors,10.0,25-34 years old,Man,74784.0
13196,India,Bachelor’s degree,2.0,25-34 years old,Man,10318.0
13199,United States of America,Less than a Bachelors,12.0,45-54 years old,Man,150000.0
13201,Argentina,Master’s degree,16.0,35-44 years old,Man,26460.0
13202,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,55-64 years old,Man,67845.0
13206,Canada,Bachelor’s degree,4.0,35-44 years old,Man,58563.0
13207,United States of America,Master’s degree,17.0,35-44 years old,Man,150000.0
13211,United States of America,Bachelor’s degree,5.0,18-24 years old,Man,74500.0
13215,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,3.0,18-24 years old,Man,63500.0
13221,Mexico,Bachelor’s degree,21.0,45-54 years old,Man,28296.0
13222,United States of America,Bachelor’s degree,0.5,25-34 years old,Man,80000.0
13226,Switzerland,Bachelor’s degree,8.0,25-34 years old,Man,83772.0
13228,United States of America,Bachelor’s degree,5.0,25-34 years old,Woman,80000.0
13232,India,Master’s degree,10.0,35-44 years old,Man,38688.0
13236,United States of America,Bachelor’s degree,2.0,18-24 years old,Man,67000.0
13237,United States of America,Less than a Bachelors,7.0,25-34 years old,Man,150000.0
13239,United States of America,Post grad,12.0,45-54 years old,Man,110000.0
13244,United Kingdom of Great Britain and Northern Ireland,Post grad,18.0,35-44 years old,Man,119357.0
13245,Spain,Less than a Bachelors,11.0,25-34 years old,Man,95000.0
13247,United States of America,Bachelor’s degree,15.0,35-44 years old,Man,175000.0
13248,Germany,Bachelor’s degree,20.0,45-54 years old,Man,95979.0
13249,United States of America,Bachelor’s degree,7.0,35-44 years old,Man,188292.0
13251,United States of America,Bachelor’s degree,3.0,18-24 years old,Man,122500.0
13252,Russian Federation,Master’s degree,3.0,25-34 years old,Man,15588.0
13253,Other,Bachelor’s degree,17.0,35-44 years old,Man,71451.0
13255,Canada,Bachelor’s degree,2.0,18-24 years old,Man,38652.0
13256,United States of America,Bachelor’s degree,10.0,25-34 years old,Man,150000.0
13257,United States of America,Master’s degree,16.0,35-44 years old,Man,160000.0
13258,Germany,Bachelor’s degree,9.0,25-34 years old,Man,58654.0
13260,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,72000.0
13262,India,Bachelor’s degree,7.0,25-34 years old,Man,12252.0
13263,United States of America,Master’s degree,9.0,25-34 years old,Woman,170000.0
13264,United States of America,Post grad,45.0,65 years or older,Man,20000.0
13265,Canada,Master’s degree,6.0,25-34 years old,Man,140551.0
13266,United States of America,Bachelor’s degree,20.0,35-44 years old,Man,200000.0
13270,Sweden,Less than a Bachelors,0.5,35-44 years old,Man,34128.0
13271,Germany,Master’s degree,6.0,25-34 years old,Man,70385.0
13272,United States of America,Master’s degree,14.0,25-34 years old,Man,122000.0
13273,United States of America,Master’s degree,25.0,45-54 years old,Man,58000.0
13274,India,Bachelor’s degree,10.0,25-34 years old,Man,36112.0
13280,France,Bachelor’s degree,11.0,25-34 years old,Man,180000.0
13282,Canada,Bachelor’s degree,34.0,55-64 years old,Man,105414.0
13283,United States of America,Master’s degree,10.0,25-34 years old,Man,150000.0
13284,Other,Less than a Bachelors,5.0,25-34 years old,Man,28644.0
13286,Czech Republic,Master’s degree,6.0,25-34 years old,Man,67548.0
13287,Belgium,Bachelor’s degree,13.0,35-44 years old,Man,61680.0
13289,United States of America,Bachelor’s degree,23.0,35-44 years old,Man,120000.0
13291,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,125000.0
13292,Germany,Bachelor’s degree,17.0,35-44 years old,Man,90647.0
13294,Poland,Master’s degree,1.0,25-34 years old,Man,33531.0
13296,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,13.0,35-44 years old,Man,94230.0
13299,Brazil,Master’s degree,2.0,25-34 years old,Man,16452.0
13300,United States of America,Less than a Bachelors,17.0,45-54 years old,Man,127000.0
13302,Canada,Master’s degree,18.0,35-44 years old,Man,93701.0
13303,Spain,Bachelor’s degree,3.0,18-24 years old,Man,95979.0
13304,United States of America,Bachelor’s degree,11.0,35-44 years old,Man,150000.0
13306,United States of America,Bachelor’s degree,10.0,25-34 years old,Man,185000.0
13307,United States of America,Less than a Bachelors,1.0,18-24 years old,Man,75000.0
13310,United States of America,Master’s degree,7.0,35-44 years old,Man,157000.0
13311,Mexico,Bachelor’s degree,7.0,25-34 years old,Man,48000.0
13313,India,Bachelor’s degree,10.0,25-34 years old,Man,15324.0
13316,Brazil,Less than a Bachelors,5.0,18-24 years old,Man,44868.0
13317,Denmark,Master’s degree,10.0,35-44 years old,Man,101520.0
13318,Other,Less than a Bachelors,4.0,25-34 years old,Man,24000.0
13319,Argentina,Post grad,6.0,35-44 years old,Man,15144.0
13321,Switzerland,Less than a Bachelors,0.5,18-24 years old,Man,18612.0
13322,United States of America,Master’s degree,12.0,25-34 years old,Man,163000.0
13323,United States of America,Less than a Bachelors,25.0,35-44 years old,Man,193000.0
13324,Germany,Less than a Bachelors,3.0,18-24 years old,Man,10104.0
13328,United States of America,Bachelor’s degree,15.0,35-44 years old,Man,155000.0
13329,Brazil,Less than a Bachelors,0.5,25-34 years old,Man,19944.0
13330,Other,Bachelor’s degree,6.0,25-34 years old,Man,89580.0
13336,Other,Bachelor’s degree,11.0,25-34 years old,Man,12216.0
13337,United States of America,Bachelor’s degree,45.0,55-64 years old,Man,80000.0
13338,Turkey,Bachelor’s degree,14.0,35-44 years old,Man,15036.0
13339,Italy,Master’s degree,10.0,25-34 years old,Man,59720.0
13343,Mexico,Bachelor’s degree,5.0,25-34 years old,Man,78276.0
13351,Greece,Bachelor’s degree,2.0,25-34 years old,Man,17916.0
13352,United States of America,Master’s degree,12.0,35-44 years old,Man,78000.0
13353,Other,Master’s degree,10.0,25-34 years old,Man,83182.0
13354,United States of America,Bachelor’s degree,9.0,35-44 years old,Man,172000.0
13357,Belgium,Bachelor’s degree,5.0,25-34 years old,Man,51192.0
13358,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,110000.0
13361,Canada,Less than a Bachelors,2.0,25-34 years old,Man,93701.0
13362,United States of America,Bachelor’s degree,3.0,25-34 years old,Man,100000.0
13364,Canada,Bachelor’s degree,7.0,25-34 years old,Man,47631.0
13379,Brazil,Bachelor’s degree,7.0,25-34 years old,Man,12468.0
13384,Other,Master’s degree,4.0,25-34 years old,Man,26028.0
13388,United States of America,Master’s degree,15.0,35-44 years old,Man,190000.0
13389,Argentina,Less than a Bachelors,1.0,25-34 years old,Man,10296.0
13392,"Iran, Islamic Republic of...",Less than a Bachelors,18.0,35-44 years old,Man,25524.0
13394,United States of America,Bachelor’s degree,26.0,45-54 years old,Man,165000.0
13395,Argentina,Less than a Bachelors,4.0,25-34 years old,Man,35340.0
13399,Netherlands,Bachelor’s degree,5.0,25-34 years old,Man,82116.0
13402,United States of America,Master’s degree,25.0,35-44 years old,Man,150000.0
13404,United States of America,Master’s degree,5.0,35-44 years old,Man,120000.0
13408,Brazil,Bachelor’s degree,5.0,25-34 years old,Man,28668.0
13410,Other,Bachelor’s degree,4.0,25-34 years old,Man,15008.0
13412,Turkey,Bachelor’s degree,2.0,25-34 years old,Man,18792.0
13418,Netherlands,Bachelor’s degree,13.0,25-34 years old,Man,127968.0
13419,United States of America,Less than a Bachelors,11.0,35-44 years old,Man,163000.0
13420,Brazil,Master’s degree,0.5,25-34 years old,Man,18904.0
13423,United States of America,Bachelor’s degree,7.0,45-54 years old,Man,180000.0
13426,Other,Bachelor’s degree,4.0,25-34 years old,Man,48312.0
13429,United States of America,Less than a Bachelors,2.0,45-54 years old,Man,200000.0
13431,Canada,Bachelor’s degree,5.0,25-34 years old,Man,78084.0
13434,United States of America,Bachelor’s degree,10.0,25-34 years old,Man,150000.0
13437,United States of America,Bachelor’s degree,8.0,25-34 years old,Man,200000.0
13439,Canada,Less than a Bachelors,4.0,18-24 years old,Man,85893.0
13442,Russian Federation,Bachelor’s degree,4.0,25-34 years old,Man,51948.0
13449,United States of America,Master’s degree,17.0,35-44 years old,Man,160000.0
13453,United States of America,Master’s degree,6.0,25-34 years old,Woman,112000.0
13456,United States of America,Bachelor’s degree,10.0,25-34 years old,Man,150000.0
13457,Other,Master’s degree,25.0,45-54 years old,Man,85315.0
13458,Poland,Master’s degree,12.0,25-34 years old,Man,88514.0
13461,Canada,Bachelor’s degree,6.0,25-34 years old,Man,145236.0
13463,Germany,Bachelor’s degree,9.0,25-34 years old,Man,74651.0
13465,United States of America,Post grad,9.0,35-44 years old,Man,144144.0
13466,United States of America,Bachelor’s degree,2.0,25-34 years old,Man,65000.0
13471,United States of America,Less than a Bachelors,3.0,25-34 years old,Woman,135000.0
13472,Germany,Master’s degree,13.0,25-34 years old,Man,140772.0
13473,United Kingdom of Great Britain and Northern Ireland,Master’s degree,16.0,35-44 years old,Man,75384.0
13475,United States of America,Master’s degree,14.0,35-44 years old,Woman,118000.0
13477,United States of America,Bachelor’s degree,8.0,25-34 years old,Man,175000.0
13478,United States of America,Post grad,1.0,35-44 years old,Man,87000.0
13481,India,Master’s degree,12.0,35-44 years old,Man,18576.0
13484,Netherlands,Post grad,4.0,25-34 years old,Man,38388.0
13489,United States of America,Bachelor’s degree,24.0,45-54 years old,Man,175000.0
13494,Brazil,Bachelor’s degree,6.0,25-34 years old,Woman,11712.0
13500,Other,Bachelor’s degree,3.0,25-34 years old,Man,79824.0
13501,United States of America,Bachelor’s degree,4.0,25-34 years old,Man,110000.0
13503,"Iran, Islamic Republic of...",Bachelor’s degree,10.0,25-34 years old,Man,29550.0
13504,Norway,Master’s degree,15.0,45-54 years old,Man,90224.0
13505,South Africa,Bachelor’s degree,6.0,25-34 years old,Woman,45516.0
13507,Canada,Bachelor’s degree,3.0,18-24 years old,Man,85893.0
13514,Brazil,Bachelor’s degree,2.0,25-34 years old,Man,13503.0
13516,United States of America,Less than a Bachelors,5.0,35-44 years old,Man,120000.0
13520,United States of America,Master’s degree,10.0,25-34 years old,Man,165000.0
13522,Other,Less than a Bachelors,3.0,18-24 years old,Man,32712.0
13523,Sweden,Bachelor’s degree,4.0,25-34 years old,Man,48756.0
13527,United States of America,Bachelor’s degree,12.0,25-34 years old,Man,113000.0
13528,"Iran, Islamic Republic of...",Less than a Bachelors,1.0,18-24 years old,Man,32616.0
13529,Spain,Master’s degree,14.0,45-54 years old,Man,43724.0
13532,Turkey,Bachelor’s degree,3.0,25-34 years old,Man,33828.0
13533,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,25-34 years old,Man,10050.0
13539,France,Bachelor’s degree,0.5,18-24 years old,Man,44796.0
13541,Other,Less than a Bachelors,7.0,25-34 years old,Man,29856.0
13545,Israel,Bachelor’s degree,8.0,25-34 years old,Man,107616.0
13548,Canada,Bachelor’s degree,17.0,35-44 years old,Man,56220.0
13549,Canada,Bachelor’s degree,11.0,35-44 years old,Man,85893.0
13551,Brazil,Bachelor’s degree,10.0,25-34 years old,Man,49860.0
13552,Canada,Bachelor’s degree,2.0,18-24 years old,Man,66372.0
13554,Netherlands,Less than a Bachelors,20.0,35-44 years old,Man,74651.0
13556,Netherlands,Bachelor’s degree,5.0,25-34 years old,Man,63984.0
13557,Canada,Less than a Bachelors,7.0,25-34 years old,Man,109318.0
13565,France,Post grad,11.0,25-34 years old,Man,31992.0
13567,United States of America,Bachelor’s degree,11.0,25-34 years old,Man,144000.0
13569,Austria,Master’s degree,25.0,45-54 years old,Man,85315.0
13571,United States of America,Less than a Bachelors,9.0,35-44 years old,Man,70000.0
13573,Netherlands,Bachelor’s degree,5.0,25-34 years old,Man,44790.0
13574,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,25-34 years old,Man,51261.0
13576,United States of America,Less than a Bachelors,20.0,35-44 years old,Man,140000.0
13577,United States of America,Less than a Bachelors,16.0,35-44 years old,Man,200000.0
13580,United States of America,Less than a Bachelors,0.5,25-34 years old,Man,78000.0
13581,Brazil,Bachelor’s degree,4.0,25-34 years old,Man,17448.0
13582,Brazil,Master’s degree,7.0,25-34 years old,Man,99708.0
13583,United States of America,Master’s degree,3.0,25-34 years old,Man,165000.0
13584,Canada,Bachelor’s degree,7.0,25-34 years old,Man,165538.0
13585,Netherlands,Bachelor’s degree,13.0,25-34 years old,Man,52188.0
13586,Brazil,Less than a Bachelors,4.0,25-34 years old,Man,10236.0
13587,United States of America,Less than a Bachelors,15.0,45-54 years old,Man,85000.0
13589,Germany,Post grad,15.0,35-44 years old,Man,85315.0
13592,United States of America,Bachelor’s degree,5.0,25-34 years old,Man,200000.0
13593,Mexico,Bachelor’s degree,11.0,25-34 years old,Man,42144.0
13594,Austria,Less than a Bachelors,3.0,18-24 years old,Man,40956.0
13595,United States of America,Less than a Bachelors,3.0,25-34 years old,Man,48000.0
13598,India,Bachelor’s degree,8.0,25-34 years old,Man,39981.0
13605,United States of America,Master’s degree,22.0,45-54 years old,Man,156056.0
13610,Ukraine,Bachelor’s degree,10.0,25-34 years old,Man,121836.0
13613,United States of America,Master’s degree,3.0,35-44 years old,Man,67000.0
13615,United States of America,Less than a Bachelors,5.0,45-54 years old,Woman,44000.0
13616,Czech Republic,Master’s degree,14.0,25-34 years old,Man,60276.0
13618,United States of America,Less than a Bachelors,17.0,35-44 years old,Man,180000.0
13619,Finland,Bachelor’s degree,4.0,25-34 years old,Man,47456.0
13621,United States of America,Bachelor’s degree,35.0,45-54 years old,Man,180000.0
13623,United States of America,Master’s degree,34.0,65 years or older,Man,85000.0
13625,United Kingdom of Great Britain and Northern Ireland,Post grad,10.0,35-44 years old,Man,165691.0
13627,United States of America,Master’s degree,14.0,35-44 years old,Man,150000.0
13628,Other,Less than a Bachelors,1.0,25-34 years old,Man,21600.0
13629,Other,Bachelor’s degree,9.0,25-34 years old,Man,66652.0
13635,India,Bachelor’s degree,7.0,25-34 years old,Man,34307.0
13642,United States of America,Post grad,7.0,25-34 years old,Woman,108000.0
13651,Netherlands,Bachelor’s degree,9.0,35-44 years old,Man,106644.0
13652,Other,Less than a Bachelors,16.0,35-44 years old,Man,22908.0
13653,United States of America,Post grad,2.0,25-34 years old,Man,125000.0
13656,United States of America,Bachelor’s degree,10.0,25-34 years old,Man,107000.0
13665,United States of America,Bachelor’s degree,30.0,55-64 years old,Man,172500.0
13670,Czech Republic,Master’s degree,3.0,25-34 years old,Man,46764.0
13671,Netherlands,Master’s degree,8.0,25-34 years old,Man,72684.0
13672,Sweden,Master’s degree,13.0,25-34 years old,Man,63984.0
13675,United States of America,Bachelor’s degree,7.0,35-44 years old,Man,86700.0
13677,United States of America,Master’s degree,5.0,25-34 years old,Man,135000.0
13680,United States of America,Less than a Bachelors,22.0,35-44 years old,Man,185000.0
13687,United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,25-34 years old,Man,75384.0
13689,United States of America,Bachelor’s degree,7.0,25-34 years old,Woman,162714.0
13691,United States of America,Bachelor’s degree,14.0,35-44 years old,Man,134000.0
13692,Denmark,Bachelor’s degree,4.0,25-34 years old,Man,58500.0
13693,Germany,Bachelor’s degree,7.0,25-34 years old,Man,65053.0
13695,Germany,Master’s degree,20.0,45-54 years old,Man,127972.0
13697,United States of America,Bachelor’s degree,6.0,25-34 years old,Man,80000.0
13698,India,Bachelor’s degree,5.0,25-34 years old,Man,23215.0
13699,France,Bachelor’s degree,4.0,25-34 years old,Man,69318.0
13700,Ukraine,Bachelor’s degree,6.0,25-34 years old,Man,145200.0
13704,India,Bachelor’s degree,10.0,25-34 years old,Man,18056.0
13706,Other,Less than a Bachelors,6.0,25-34 years old,Man,29640.0
13709,Hungary,Bachelor’s degree,5.0,18-24 years old,Man,31776.0
13711,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,25-34 years old,Man,62820.0
13713,United States of America,Bachelor’s degree,7.0,25-34 years old,Man,160000.0
13714,Poland,Master’s degree,14.0,35-44 years old,Man,33300.0
13716,United States of America,Post grad,8.0,25-34 years old,Man,100000.0
13719,United States of America,Bachelor’s degree,5.0,25-34 years old,Man,85000.0
13720,United States of America,Bachelor’s degree,7.0,25-34 years old,Man,117505.0
13724,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,35-44 years old,Man,57794.0
13728,United States of America,Bachelor’s degree,7.0,25-34 years old,Man,90000.0
13729,United States of America,Less than a Bachelors,11.0,25-34 years old,Man,90000.0
13730,United States of America,Bachelor’s degree,10.0,45-54 years old,Man,100000.0
13731,France,Master’s degree,10.0,25-34 years old,Man,58654.0
13732,United States of America,Master’s degree,1.0,35-44 years old,Woman,140000.0
13734,United States of America,Post grad,25.0,35-44 years old,Man,180000.0
13735,Greece,Less than a Bachelors,2.0,25-34 years old,Man,19200.0
13743,United States of America,Bachelor’s degree,10.0,35-44 years old,Man,70000.0
13745,Germany,Less than a Bachelors,5.0,25-34 years old,Man,58654.0
13747,France,Bachelor’s degree,5.0,35-44 years old,Man,47990.0
13748,Brazil,Less than a Bachelors,2.0,18-24 years old,Man,12468.0
13749,Brazil,Bachelor’s degree,20.0,35-44 years old,Man,19464.0
13751,Canada,Bachelor’s degree,11.0,25-34 years old,Man,62194.0
13753,Other,Less than a Bachelors,6.0,25-34 years old,Man,36228.0
13754,Brazil,Bachelor’s degree,7.0,18-24 years old,Man,45120.0
13755,United States of America,Less than a Bachelors,4.0,18-24 years old,Man,110000.0
13758,Canada,Less than a Bachelors,32.0,45-54 years old,Man,117126.0
13760,United States of America,Bachelor’s degree,3.0,25-34 years old,Woman,160000.0
13761,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,20.0,35-44 years old,Man,84178.0
13765,United States of America,Master’s degree,5.0,25-34 years old,Man,88800.0
13766,United States of America,Master’s degree,12.0,35-44 years old,Man,165000.0
13769,United States of America,Master’s degree,2.0,55-64 years old,Woman,85000.0
13772,United States of America,Master’s degree,8.0,25-34 years old,Man,150000.0
13774,Austria,Less than a Bachelors,0.5,18-24 years old,Man,42657.0
13779,Brazil,Bachelor’s degree,2.0,25-34 years old,Man,36000.0
13780,United States of America,Bachelor’s degree,4.0,18-24 years old,Man,180000.0
13783,United States of America,Bachelor’s degree,6.0,25-34 years old,Man,155000.0
13785,Brazil,Bachelor’s degree,6.0,25-34 years old,Man,20700.0
13787,India,Bachelor’s degree,11.0,25-34 years old,Woman,46430.0
13788,United States of America,Less than a Bachelors,0.5,45-54 years old,Man,70000.0
13793,United States of America,Less than a Bachelors,16.0,35-44 years old,Man,110000.0
13794,Netherlands,Less than a Bachelors,4.0,18-24 years old,Man,85315.0
13798,Russian Federation,Master’s degree,16.0,35-44 years old,Man,62340.0
13800,United States of America,Less than a Bachelors,0.5,25-34 years old,Man,70000.0
13802,France,Master’s degree,3.0,18-24 years old,Man,79983.0
13803,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,25-34 years old,Man,51512.0
13805,Poland,Bachelor’s degree,4.0,18-24 years old,Man,41628.0
13806,Germany,Master’s degree,6.0,25-34 years old,Man,82116.0
13807,United States of America,Bachelor’s degree,18.0,35-44 years old,Man,170000.0
13809,Russian Federation,Master’s degree,16.0,35-44 years old,Man,62340.0
13810,United States of America,Master’s degree,12.0,25-34 years old,Man,100000.0
13811,United States of America,Bachelor’s degree,18.0,45-54 years old,Man,175000.0
13812,Germany,Bachelor’s degree,13.0,35-44 years old,Man,73584.0
13813,Israel,Less than a Bachelors,20.0,35-44 years old,Man,149464.0
13815,Canada,Bachelor’s degree,20.0,35-44 years old,Man,167881.0
13817,Canada,Bachelor’s degree,12.0,35-44 years old,Man,71837.0
13818,United States of America,Bachelor’s degree,8.0,25-34 years old,Man,85000.0
13819,United States of America,Less than a Bachelors,10.0,35-44 years old,Man,155000.0
13823,Brazil,Bachelor’s degree,2.0,25-34 years old,Man,41547.0
13825,United States of America,Master’s degree,2.0,25-34 years old,Man,70000.0
13826,Italy,Less than a Bachelors,25.0,45-54 years old,Man,106644.0
13827,India,Bachelor’s degree,5.0,25-34 years old,Man,67066.0
13828,Other,Master’s degree,6.0,25-34 years old,Man,90000.0
13831,United States of America,Less than a Bachelors,4.0,25-34 years old,Woman,80000.0
13832,Brazil,Bachelor’s degree,4.0,35-44 years old,Man,58584.0
13833,India,Bachelor’s degree,3.0,25-34 years old,Man,12188.0
13836,United States of America,Master’s degree,11.0,35-44 years old,Man,140000.0
13838,Brazil,Bachelor’s degree,14.0,35-44 years old,Man,35938.0
13840,Canada,Bachelor’s degree,39.0,55-64 years old,Woman,93696.0
13843,United States of America,Bachelor’s degree,5.0,25-34 years old,Man,115000.0
13845,Portugal,Master’s degree,6.0,25-34 years old,Man,42657.0
13846,Brazil,Less than a Bachelors,3.0,18-24 years old,Man,21324.0
13848,United States of America,Post grad,3.0,25-34 years old,Man,190000.0
13850,Other,Master’s degree,7.0,25-34 years old,Man,39036.0
13855,Brazil,Less than a Bachelors,11.0,25-34 years old,Man,110000.0
13856,United States of America,Less than a Bachelors,0.5,18-24 years old,Man,52000.0
13857,Other,Bachelor’s degree,15.0,35-44 years old,Man,27972.0
